==============================
Processo, 52, tempo, 4.403161, Prioridade,-1
Processo, 43, tempo, 4.429123, Prioridade,-1
Processo, 0, tempo, 4.461188, Prioridade,-1
Processo, 19, tempo, 4.479460, Prioridade,-1
Processo, 17, tempo, 4.466030, Prioridade,-1
Processo, 25, tempo, 4.520255, Prioridade,-1
Processo, 63, tempo, 4.444558, Prioridade,-1
Processo, 15, tempo, 4.490718, Prioridade,-1
Processo, 57, tempo, 4.456727, Prioridade,-1
Processo, 48, tempo, 4.466151, Prioridade,-1
Processo, 24, tempo, 4.529322, Prioridade,-1
Processo, 5, tempo, 4.549328, Prioridade,-1
Processo, 6, tempo, 4.554648, Prioridade,-1
Processo, 75, tempo, 4.440860, Prioridade,-1
Processo, 8, tempo, 4.503447, Prioridade,-1
Processo, 33, tempo, 4.528081, Prioridade,-1
Processo, 69, tempo, 4.479502, Prioridade,-1
Processo, 26, tempo, 4.542820, Prioridade,-1
Processo, 30, tempo, 4.530648, Prioridade,-1
Processo, 21, tempo, 4.533557, Prioridade,-1
Processo, 61, tempo, 4.471619, Prioridade,-1
Processo, 65, tempo, 4.457723, Prioridade,-1
Processo, 60, tempo, 4.495887, Prioridade,-1
Processo, 53, tempo, 4.497737, Prioridade,-1
Processo, 20, tempo, 4.568927, Prioridade,-1
Processo, 18, tempo, 4.561261, Prioridade,-1
Processo, 71, tempo, 4.479919, Prioridade,-1
Processo, 73, tempo, 4.463475, Prioridade,-1
Processo, 79, tempo, 4.442259, Prioridade,-1
Processo, 7, tempo, 4.524187, Prioridade,-1
Processo, 50, tempo, 4.521807, Prioridade,-1
Processo, 14, tempo, 4.515916, Prioridade,-1
Processo, 28, tempo, 4.558907, Prioridade,-1
Processo, 45, tempo, 4.560386, Prioridade,-1
Processo, 23, tempo, 4.571153, Prioridade,-1
Processo, 77, tempo, 4.463013, Prioridade,-1
Processo, 66, tempo, 4.491925, Prioridade,-1
Processo, 68, tempo, 4.491858, Prioridade,-1
Processo, 22, tempo, 4.585386, Prioridade,-1
Processo, 31, tempo, 4.552526, Prioridade,-1
Processo, 27, tempo, 4.564340, Prioridade,-1
Processo, 29, tempo, 4.565144, Prioridade,-1
Processo, 32, tempo, 4.561859, Prioridade,-1
Processo, 13, tempo, 4.549081, Prioridade,-1
Processo, 16, tempo, 4.580780, Prioridade,-1
Processo, 70, tempo, 4.509097, Prioridade,-1
Processo, 2, tempo, 4.601657, Prioridade,-1
Processo, 64, tempo, 4.515342, Prioridade,-1
Processo, 74, tempo, 4.495141, Prioridade,-1
Processo, 72, tempo, 4.495713, Prioridade,-1
Processo, 76, tempo, 4.505341, Prioridade,-1
Processo, 67, tempo, 4.510427, Prioridade,-1
Processo, 62, tempo, 4.450560, Prioridade,-1
Processo, 78, tempo, 4.495290, Prioridade,-1
==============================
Processo, 71, tempo, 4.611536, Prioridade,-1
Processo, 67, tempo, 4.630578, Prioridade,-1
Processo, 61, tempo, 4.653132, Prioridade,-1
Processo, 62, tempo, 4.689446, Prioridade,-1
Processo, 74, tempo, 4.611077, Prioridade,-1
Processo, 58, tempo, 4.678457, Prioridade,-1
Processo, 79, tempo, 4.599323, Prioridade,-1
Processo, 70, tempo, 4.650289, Prioridade,-1
Processo, 69, tempo, 4.656047, Prioridade,-1
Processo, 59, tempo, 4.701056, Prioridade,-1
